Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.101.224-172.16.103.240-4280-52576-6,172.16.103.240,52576,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,6712,4,3,681.0,540.0,681.0,0.0,170.25,340.5,540.0,0.0,180.0,311.7691453623979,181912.9916567342,1042.9082240762814,1118.6666666666667,1462.5016467227197,3791.0,63.0,6184.0,2061.3333333333335,2052.7528670868624,4212.0,123.0,4442.0,2221.0,3051.872867601139,4379.0,63.0,0,0,0,0,80,92,595.9475566150179,446.9606674612634,0.0,681.0,152.625,285.1079682706686,81286.55357142857,0,1,0,0,0,0,0,0,0.0,174.42857142857142,170.25,180.0,0,0,0,0,0,0,4,681,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52576-6,172.16.101.224,4280,172.16.103.240,52576,6,20/03/2024 06:15:14 PM,652,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.4846625766872,652.0,0.0,652.0,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1533.7423312883436,1533.7423312883436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52580-6,172.16.103.240,52580,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,5203,4,3,691.0,593.0,691.0,0.0,172.75,345.5,593.0,0.0,197.66666666666666,342.36870962944806,246780.7034403229,1345.3776667307322,867.1666666666666,1245.8316766990101,3239.0,55.0,4918.0,1639.3333333333333,1785.5165452421138,3582.0,70.0,3594.0,1797.0,2463.5600256539315,3539.0,55.0,0,0,0,0,80,92,768.787238131847,576.5904285988853,0.0,691.0,160.5,298.340170179708,89006.85714285714,0,1,0,0,0,0,0,0,0.0,183.42857142857142,172.75,197.66666666666666,0,0,0,0,0,0,4,691,3,593,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52580-6,172.16.101.224,4280,172.16.103.240,52580,6,20/03/2024 06:15:14 PM,555,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.6036036036035,555.0,0.0,555.0,555.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1801.8018018018017,1801.8018018018017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52584-6,172.16.103.240,52584,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,5603,4,3,533.0,540.0,533.0,0.0,133.25,266.5,540.0,0.0,180.0,311.7691453623979,191504.55113332142,1249.3307156880242,933.8333333333333,1403.6786550584386,3691.0,67.0,5255.0,1751.6666666666667,2069.2545356560977,4066.0,80.0,4119.0,2059.5,2817.820523028392,4052.0,67.0,0,0,0,0,80,92,713.9032661074424,535.4274495805818,0.0,540.0,134.125,248.35828813573804,61681.839285714275,0,1,0,0,0,0,0,0,0.0,153.28571428571428,133.25,180.0,0,0,0,0,0,0,4,533,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52584-6,172.16.101.224,4280,172.16.103.240,52584,6,20/03/2024 06:15:14 PM,877,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.501710376283,877.0,0.0,877.0,877.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1140.2508551881415,1140.2508551881415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52588-6,172.16.103.240,52588,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,5813,4,3,563.0,540.0,563.0,0.0,140.75,281.5,540.0,0.0,180.0,311.7691453623979,189747.11852743852,1204.1974883880957,968.8333333333333,1576.3846506061477,4081.0,75.0,5490.0,1830.0,2185.2752687018633,4278.0,76.0,4480.0,2240.0,3061.7723625377507,4405.0,75.0,0,0,0,0,80,92,688.1128505074832,516.0846378806125,0.0,563.0,137.875,255.36888584387654,65213.267857142855,0,1,0,0,0,0,0,0,0.0,157.57142857142858,140.75,180.0,0,0,0,0,0,0,4,563,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52588-6,172.16.101.224,4280,172.16.103.240,52588,6,20/03/2024 06:15:14 PM,786,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544.529262086514,786.0,0.0,786.0,786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1272.264631043257,1272.264631043257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52598-6,172.16.103.240,52598,172.16.101.224,4280,6,20/03/2024 06:15:14 PM,6728,4,3,526.0,540.0,526.0,0.0,131.5,263.0,540.0,0.0,180.0,311.7691453623979,158442.33055885852,1040.4280618311534,1121.3333333333333,1741.992613838149,4512.0,75.0,6370.0,2123.3333333333335,2434.60640213841,4815.0,75.0,4945.0,2472.5,3326.9374054827063,4825.0,120.0,0,0,0,0,80,92,594.5303210463734,445.89774078478007,0.0,540.0,133.25000000000003,246.7594259308331,60890.2142857143,0,1,0,0,0,0,0,0,0.0,152.28571428571428,131.5,180.0,0,0,0,0,0,0,4,526,3,540,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-52598-6,172.16.101.224,4280,172.16.103.240,52598,6,20/03/2024 06:15:14 PM,825,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2424.2424242424245,825.0,0.0,825.0,825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1212.1212121212122,1212.1212121212122,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
