Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.5.65-49.44.205.49-50438-443-6,49.44.205.49,443,172.16.5.65,50438,6,14/03/2024 05:56:43 PM,1,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,2.4E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
172.16.7.157-172.16.104.137-8080-35510-6,172.16.7.157,8080,172.16.104.137,35510,6,14/03/2024 05:56:44 PM,5107,4,1,220.0,0.0,220.0,0.0,55.00000000000001,110.0,0.0,0.0,0.0,0.0,43078.128059526134,979.0483649892304,1276.75,1012.9752793956359,2551.0,121.0,3653.0,1217.6666666666665,1232.1661143422723,2551.0,121.0,0,0,0,0,0,0,0,0,0,80,32,783.2386919913843,195.80967299784606,0.0,220.0,36.666666666666664,89.81462390204986,8066.666666666667,0,1,0,0,1,0,0,0,0.0,44.0,55.0,0.0,0,0,0,0,0,0,4,220,1,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
142.250.183.206-172.16.104.163-443-64295-6,172.16.104.163,64295,142.250.183.206,443,6,14/03/2024 05:56:50 PM,296,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6756.756756756757,296.0,0.0,296.0,296.0,0,0,0,0,0,296.0,296.0,0.0,296.0,296.0,0,0,0,0,0,40,0.0,6756.756756756757,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
172.217.174.81-172.16.104.163-443-64296-6,172.16.104.163,64296,172.217.174.81,443,6,14/03/2024 05:56:50 PM,301,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6644.518272425249,301.0,0.0,301.0,301.0,0,0,0,0,0,301.0,301.0,0.0,301.0,301.0,0,0,0,0,0,40,0.0,6644.518272425249,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
142.250.182.234-172.16.104.163-443-64294-6,172.16.104.163,64294,142.250.182.234,443,6,14/03/2024 05:56:50 PM,273,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7326.007326007325,273.0,0.0,273.0,273.0,0,0,0,0,0,273.0,273.0,0.0,273.0,273.0,0,0,0,0,0,40,0.0,7326.007326007325,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,238,0,0,0,0,0,0,0,0,0,0,No Label
142.250.183.129-172.16.104.163-443-64302-6,172.16.104.163,64302,142.250.183.129,443,6,14/03/2024 05:56:50 PM,376,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5319.148936170213,376.0,0.0,376.0,376.0,0,0,0,0,0,376.0,376.0,0.0,376.0,376.0,0,0,0,0,0,40,0.0,5319.148936170213,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,238,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-42031-4280-6,172.16.104.163,4280,172.16.102.242,42031,6,14/03/2024 06:04:15 PM,461252,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.504036838864655,230626.0,264497.5341435152,417654.0,43598.0,0,0,0,0,0,461252.0,230626.0,264497.5341435152,417654.0,43598.0,0,0,0,0,0,60,0.0,6.504036838864655,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-49337-4280-6,172.16.104.163,4280,172.16.102.242,49337,6,14/03/2024 06:04:15 PM,523315,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.7326849029743085,261657.5,311154.5608865472,481677.0,41638.0,0,0,0,0,0,523315.0,261657.5,311154.5608865472,481677.0,41638.0,0,0,0,0,0,60,0.0,5.7326849029743085,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-57527-4280-6,172.16.104.163,4280,172.16.102.242,57527,6,14/03/2024 06:04:15 PM,523570,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.729892851003687,261785.0,311334.87311574974,481932.0,41638.0,0,0,0,0,0,523570.0,261785.0,311334.87311574974,481932.0,41638.0,0,0,0,0,0,60,0.0,5.729892851003687,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-46936-4280-6,172.16.102.242,46936,172.16.104.163,4280,6,14/03/2024 06:04:17 PM,8402,4,4,527.0,1797.0,527.0,0.0,131.75,263.5,1460.0,0.0,449.25,692.3069526349325,276600.80933111167,952.1542489883361,1200.2857142857142,2419.636178869716,6638.0,0.0,7652.0,2550.6666666666665,3733.567373616463,6836.0,0.0,7398.0,2466.0,4188.271242410166,7302.0,10.0,0,0,0,0,80,112,476.07712449416806,476.07712449416806,0.0,1460.0,258.2222222222222,490.2537041618803,240348.69444444444,0,1,0,0,0,0,0,0,1.0,290.5,131.75,449.25,0,0,0,0,0,0,4,527,4,1797,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-46936-4280-6,172.16.104.163,4280,172.16.102.242,46936,6,14/03/2024 06:04:17 PM,810,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.135802469136,810.0,0.0,810.0,810.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1234.567901234568,1234.567901234568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-46940-4280-6,172.16.102.242,46940,172.16.104.163,4280,6,14/03/2024 06:04:17 PM,7355,4,3,612.0,617.0,612.0,0.0,153.0,306.0,617.0,0.0,205.66666666666666,356.22511608999906,167097.21278042148,951.7335146159074,1225.8333333333335,2373.080733280405,6041.0,0.0,7083.0,2361.0,3469.9211806610247,6345.0,0.0,6313.0,3156.5,4347.999597516081,6231.0,82.0,0,0,0,0,80,92,543.8477226376614,407.88579197824606,0.0,617.0,153.625,284.4613644366188,80918.26785714286,0,1,0,0,0,0,0,0,0.0,175.57142857142858,153.0,205.66666666666666,0,0,0,0,0,0,4,612,3,617,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.102.242-172.16.104.163-46940-4280-6,172.16.104.163,4280,172.16.102.242,46940,6,14/03/2024 06:04:17 PM,1201,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.2789342214821,1201.0,0.0,1201.0,1201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,832.6394671107411,832.6394671107411,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
