Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.101.224-172.16.103.240-4280-45638-6,172.16.103.240,45638,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,8888,4,4,509.0,1701.0,509.0,0.0,127.25000000000001,254.5,1460.0,0.0,425.25,699.1258232011364,248649.86498649864,900.0900090009001,1269.7142857142858,2421.0719880723436,6651.0,1.0,8359.0,2786.3333333333335,3691.20540383942,6973.0,1.0,7194.0,2398.0,4069.6082121010127,7097.0,13.0,0,0,0,0,80,112,450.04500450045003,450.04500450045003,0.0,1460.0,245.55555555555554,488.1193786132423,238260.52777777778,0,1,0,0,0,0,0,0,1.0,276.25,127.25,425.25,0,0,0,0,0,0,4,509,4,1701,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45638-6,172.16.101.224,4280,172.16.103.240,45638,6,20/03/2024 06:11:46 PM,965,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.538860103627,965.0,0.0,965.0,965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1036.2694300518135,1036.2694300518135,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45654-6,172.16.103.240,45654,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,8301,4,3,557.0,615.0,557.0,0.0,139.25,278.5,615.0,0.0,205.0,355.0704155516198,141187.80869774727,843.2718949524154,1383.5,2261.7860862601483,5920.0,104.0,7925.0,2641.6666666666665,3493.387229228007,6626.0,104.0,6400.0,3200.0,4351.535131422013,6277.0,123.0,0,0,0,0,80,92,481.8696542585231,361.40224069389234,0.0,615.0,146.5,271.707826271425,73825.14285714287,0,1,0,0,0,0,0,0,0.0,167.42857142857142,139.25,205.0,0,0,0,0,0,0,4,557,3,615,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45654-6,172.16.101.224,4280,172.16.103.240,45654,6,20/03/2024 06:11:46 PM,838,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386.634844868735,838.0,0.0,838.0,838.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1193.3174224343675,1193.3174224343675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45664-6,172.16.103.240,45664,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,6408,4,3,602.0,615.0,602.0,0.0,150.5,301.0,615.0,0.0,205.0,355.0704155516198,189918.85143570538,1092.3845193508116,1068.0,1727.2389527798405,4496.0,75.0,6074.0,2024.6666666666667,2494.7208928722534,4836.0,75.0,4905.0,2452.5,3362.2927445420337,4830.0,75.0,0,0,0,0,80,92,624.2197253433209,468.1647940074907,0.0,615.0,152.125,281.70219203974966,79356.125,0,1,0,0,0,0,0,0,0.0,173.85714285714286,150.5,205.0,0,0,0,0,0,0,4,602,3,615,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45664-6,172.16.101.224,4280,172.16.103.240,45664,6,20/03/2024 06:11:46 PM,680,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941.176470588235,680.0,0.0,680.0,680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1470.5882352941176,1470.5882352941176,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45670-6,172.16.103.240,45670,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,6965,4,4,523.0,1731.0,523.0,0.0,130.75,261.5,1460.0,0.0,432.75,696.6469096082079,323618.0904522613,1148.600143575018,995.0000000000001,1794.1174246222945,4964.0,13.0,6648.0,2216.0,2803.7453522030137,5394.0,92.0,5386.0,1795.3333333333335,3045.617233556005,5312.0,13.0,0,0,0,0,80,112,574.300071787509,574.300071787509,0.0,1460.0,250.44444444444446,489.140601236268,239258.52777777778,0,1,0,0,0,0,0,0,1.0,281.75,130.75,432.75,0,0,0,0,0,0,4,523,4,1731,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45670-6,172.16.101.224,4280,172.16.103.240,45670,6,20/03/2024 06:11:46 PM,839,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2383.7902264600716,839.0,0.0,839.0,839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1191.8951132300358,1191.8951132300358,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45674-6,172.16.103.240,45674,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,7461,4,4,527.0,1701.0,527.0,0.0,131.75,263.5,1460.0,0.0,425.25,699.1258232011364,298619.488004289,1072.2423267658492,1065.857142857143,1844.4247909643293,5099.0,13.0,7169.0,2389.6666666666665,2911.2887753249993,5663.0,90.0,5494.0,1831.3333333333335,3075.2681725880966,5382.0,13.0,0,0,0,0,80,112,536.1211633829246,536.1211633829246,0.0,1460.0,247.55555555555554,489.36900982569153,239482.02777777775,0,1,0,0,0,0,0,0,1.0,278.5,131.75,425.25,0,0,0,0,0,0,4,527,4,1701,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45674-6,172.16.101.224,4280,172.16.103.240,45674,6,20/03/2024 06:11:46 PM,882,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.573696145125,882.0,0.0,882.0,882.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1133.7868480725624,1133.7868480725624,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-45684-6,172.16.103.240,45684,172.16.101.224,4280,6,20/03/2024 06:11:46 PM,7001,4,3,640.0,737.0,640.0,0.0,160.0,320.0,737.0,0.0,245.66666666666666,425.5071483927542,196686.1876874732,999.857163262391,1166.8333333333335,1917.9172470851465,5012.0,58.0,6593.0,2197.6666666666665,2765.318125159081,5346.0,162.0,5582.0,2791.0,3865.045665965669,5524.0,58.0,0,0,0,0,80,92,571.346950435652,428.510212826739,0.0,737.0,172.125,319.76618131735836,102250.41071428571,0,1,0,0,0,0,0,0,0.0,196.71428571428572,160.0,245.66666666666666,0,0,0,0,0,0,4,640,3,737,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
