Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.101.224-172.16.103.240-4280-60250-6,172.16.101.224,4280,172.16.103.240,60250,6,20/03/2024 06:05:11 PM,624,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205.128205128205,624.0,0.0,624.0,624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1602.5641025641025,1602.5641025641025,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60252-6,172.16.103.240,60252,172.16.101.224,4280,6,20/03/2024 06:05:11 PM,5559,4,3,573.0,752.0,573.0,0.0,143.25,286.5,752.0,0.0,250.66666666666666,434.16740243059854,238352.221622594,1259.219284043893,926.5,1635.1733547242018,4222.0,56.0,5255.0,1751.6666666666667,2320.5219958736293,4402.0,85.0,4611.0,2305.5,3181.2734085582774,4555.0,56.0,0,0,0,0,80,92,719.5538765965102,539.6654074473827,0.0,752.0,165.625,310.3868266258366,96339.98214285716,0,1,0,0,0,0,0,0,0.0,189.28571428571428,143.25,250.66666666666666,0,0,0,0,0,0,4,573,3,752,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60252-6,172.16.101.224,4280,172.16.103.240,60252,6,20/03/2024 06:05:11 PM,560,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571.4285714285716,560.0,0.0,560.0,560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1785.7142857142858,1785.7142857142858,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.8.171-172.16.12.236-80-50190-6,172.16.12.236,50190,172.16.8.171,80,6,20/03/2024 06:05:11 PM,5864,4,1,91.0,0.0,91.0,0.0,22.75,45.49999999999999,0.0,0.0,0.0,0.0,15518.417462482947,852.6603001364256,1466.0,1670.717410774984,3692.0,99.0,4059.0,1353.0,2027.3951267574853,3692.0,99.0,0,0,0,0,0,0,0,0,0,80,40,682.1282401091405,170.53206002728513,0.0,91.0,15.166666666666666,37.150594432211534,1380.1666666666667,0,1,0,0,0,0,0,0,0.0,18.2,22.75,0.0,0,0,0,0,0,0,4,91,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
172.16.8.131-172.16.12.236-22-55522-6,172.16.12.236,55522,172.16.8.131,22,6,20/03/2024 06:05:11 PM,5152,4,1,22.0,0.0,22.0,0.0,5.5,11.0,0.0,0.0,0.0,0.0,4270.186335403727,970.4968944099378,1288.0,1406.6672195891488,2810.0,61.0,2342.0,780.6666666666667,1193.2084199054805,2158.0,61.0,0,0,0,0,0,0,0,0,0,80,40,776.3975155279503,194.09937888198758,0.0,22.0,3.666666666666667,8.981462390204987,80.66666666666667,0,1,0,0,0,0,0,0,0.0,4.4,5.5,0.0,0,0,0,0,0,0,4,22,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60254-6,172.16.103.240,60254,172.16.101.224,4280,6,20/03/2024 06:05:11 PM,5523,4,3,600.0,615.0,600.0,0.0,150.0,300.0,615.0,0.0,205.0,355.0704155516198,219989.1363389462,1267.427122940431,920.5,1506.7705532031077,3945.0,67.0,5279.0,1759.6666666666667,2163.245324352588,4230.0,204.0,4393.0,2196.5,3011.567781073506,4326.0,67.0,0,0,0,0,80,92,724.2440702516748,543.1830526887561,0.0,615.0,151.875,281.24642854875253,79099.55357142857,0,1,0,0,0,0,0,0,0.0,173.57142857142858,150.0,205.0,0,0,0,0,0,0,4,600,3,615,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60254-6,172.16.101.224,4280,172.16.103.240,60254,6,20/03/2024 06:05:11 PM,896,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.1428571428573,896.0,0.0,896.0,896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1116.0714285714287,1116.0714285714287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60258-6,172.16.103.240,60258,172.16.101.224,4280,6,20/03/2024 06:05:11 PM,6242,4,4,599.0,1788.0,599.0,0.0,149.75,299.5,1460.0,0.0,447.0,692.8078136587857,382409.4841396988,1281.640499839795,891.7142857142857,1655.9485412984823,4576.0,9.0,5954.0,1984.6666666666667,2542.928692144814,4879.0,109.0,4982.0,1660.6666666666665,2792.6339418787657,4885.0,9.0,0,0,0,0,80,112,640.8202499198975,640.8202499198975,0.0,1460.0,265.22222222222223,495.59302299814965,245612.44444444447,0,1,0,0,0,0,0,0,1.0,298.375,149.75,447.0,0,0,0,0,0,0,4,599,4,1788,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60258-6,172.16.101.224,4280,172.16.103.240,60258,6,20/03/2024 06:05:11 PM,591,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3384.09475465313,591.0,0.0,591.0,591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1692.047377326565,1692.047377326565,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8212,0,0,0,0,0,0,0,0,0,0,No Label
172.16.101.224-172.16.103.240-4280-60268-6,172.16.103.240,60268,172.16.101.224,4280,6,20/03/2024 06:05:11 PM,5927,4,4,549.0,1701.0,549.0,0.0,137.25,274.5,1460.0,0.0,425.25,699.1258232011364,379618.69411169225,1349.7553568415724,846.7142857142857,1593.992128199479,4412.0,8.0,5605.0,1868.3333333333335,2527.003231761553,4757.0,67.0,4809.0,1603.0,2711.6860068968163,4734.0,8.0,0,0,0,0,80,112,674.8776784207862,674.8776784207862,0.0,1460.0,249.99999999999994,490.99159870612857,241072.75,0,1,0,0,0,0,0,0,1.0,281.25,137.25,425.25,0,0,0,0,0,0,4,549,4,1701,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
